,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
1,1,Spain,"Ripe aromas of fig, blackberry and cassis are softened and sweetened by a slathering of oaky chocolate and vanilla. This is full, layered, intense and cushioned on the palate, with rich flavors of chocolaty black fruits and baking spices. A toasty, everlasting finish is heady but ideally balanced. Drink through 2023.",Carodorum Selección Especial Reserva,96,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
5,5,Spain,"Deep, dense and pure from the opening bell, this Toro is a winner. Aromas of dark ripe black fruits are cool and moderately oaked. This feels massive on the palate but sensationally balanced. Flavors of blackberry, coffee, mocha and toasty oak finish spicy, smooth and heady. Drink this exemplary Toro through 2023.",Numanthia,95,73.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
6,6,Spain,"Slightly gritty black-fruit aromas include a sweet note of pastry along with a hint of prune. Wall-to-wall saturation ensures that all corners of one's mouth are covered. Flavors of blackberry, mocha and chocolate are highly impressive and expressive, while this settles nicely on a long finish. Drink now through 2024.",San Román,95,65.0,Northern Spain,Toro,,Tinta de Toro,Maurodos
7,7,Spain,"Lush cedary black-fruit aromas are luxe and offer notes of marzipan and vanilla. This bruiser is massive and tannic on the palate, but still lush and friendly. Chocolate is a key flavor, while baked berry and cassis flavors are hardly wallflowers. On the finish, this is tannic and deep as a sea trench. Drink this saturated black-colored Toro through 2023.",Carodorum Único Crianza,95,110.0,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
17,17,Spain,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 Años Reserva Premium,95,80.0,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
21,21,Spain,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.",Prado Enea Gran Reserva,95,79.0,Northern Spain,Rioja,,Tempranillo Blend,Muga
22,22,Spain,"Tarry blackberry and cheesy oak aromas are appropriate for a wine of this size and magnitude. In the mouth, this Tinta de Toro is expansive and grabby, with bullish tannins. Slightly salty earthy accents come with core blackberry flavors and notes of baking spices and chocolate, while on the finish this is long, chocolaty, delicious and not too hard or tannic. Drink through 2023.",Termanthia,95,220.0,Northern Spain,Toro,,Tinta de Toro,Numanthia
40,40,Spain,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Mencía is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.",Amandi,90,17.0,Galicia,Ribeira Sacra,,Mencía,Don Bernardino
41,41,Spain,"This comes across wide and expansive as it lazily exudes oily aromas of hazelnut and toffee. A plump palate is not overly cutting or demanding, while flavors of lightly salted nuts and buttered toast end with toffee and peanut flavors.",Alfonso Oloroso Seco,90,26.0,Andalucia,Jerez,,Palomino,González Byass
116,116,Spain,"Aromas of brandied cherry and crème de cassis include a horsey sidenote and some heat. This sweet Monastrell smacks the palate with hard tannins. Flavors of black cherry, cassis and baked plum finish blocky.",Dulce Tinto,86,,Levante,Jumilla,,Monastrell,Casa de la Ermita
