id,superficie,fecha,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas
1968290001,140,01/01/1968,4,29,0,INDETERMINADO,2,1,40,0,0,0,360,0,0,0,0
1968430003,30,03/01/1968,2,43,0,INDETERMINADO,5,1,0,0,0,0,60,0,0,0,0
1968290006,20,06/01/1968,4,29,0,INDETERMINADO,5,1,0,0,0,0,120,0,0,0,0
1968120007,82,07/01/1968,9,12,0,INDETERMINADO,3,1,20,0,0,0,120,0,0,0,0
1968430016,6000,07/01/1968,2,43,0,INDETERMINADO,3,1,20,0,0,0,1440,35,1,0,0
1968460044,10,07/01/1968,9,46,0,INDETERMINADO,5,1,0,0,0,0,120,0,0,0,0
1968430004,"1,8E+016",09/01/1968,2,43,0,INDETERMINADO,2,1,40,0,0,0,120,0,0,0,0
1968440009,15,09/01/1968,10,44,0,INDETERMINADO,2,1,40,0,0,0,120,0,0,0,0
1968250010,350,10/01/1968,2,25,0,INDETERMINADO,4,1,99,0,0,0,1440,39,0,0,0
1968490017,10,10/01/1968,17,49,0,INDETERMINADO,2,1,40,0,0,0,60,0,0,0,0
1968080031,30,11/01/1968,2,8,0,INDETERMINADO,5,1,0,0,0,0,240,0,0,0,0
1968080032,246,11/01/1968,2,8,0,INDETERMINADO,2,1,40,0,0,0,600,38,0,0,2
1968250011,230,11/01/1968,2,25,0,INDETERMINADO,3,1,20,0,0,0,360,24,0,0,4
1968050005,10,12/01/1968,17,5,0,INDETERMINADO,2,1,10,0,0,0,120,0,0,0,0
1968080034,10,12/01/1968,2,8,0,INDETERMINADO,2,1,90,0,0,0,120,0,0,0,0
1968120050,110,12/01/1968,9,12,0,INDETERMINADO,3,1,20,0,0,0,360,61,0,0,2
1968430015,50,12/01/1968,2,43,0,INDETERMINADO,2,1,40,0,0,0,359,0,0,0,0
1968110026,30,15/01/1968,4,11,0,INDETERMINADO,2,1,40,0,0,0,420,0,0,0,0
1968390051,370,16/01/1968,6,39,0,INDETERMINADO,5,1,0,0,0,0,420,0,0,0,0
1968050056,300,17/01/1968,17,5,0,INDETERMINADO,2,1,30,0,0,0,360,165,0,0,10
1968070040,10,17/01/1968,15,7,0,INDETERMINADO,3,1,20,0,0,0,180,0,0,0,0
1968080036,20,17/01/1968,2,8,0,INDETERMINADO,5,1,0,0,0,0,120,0,0,0,0
1968050057,150,18/01/1968,17,5,0,INDETERMINADO,2,1,50,0,0,0,180,145,0,0,5
1968320014,950,18/01/1968,3,32,0,INDETERMINADO,2,1,20,0,0,0,240,19,0,0,0
1968050048,30,19/01/1968,17,5,0,INDETERMINADO,2,1,50,0,0,0,180,0,0,0,0
1968360060,40,19/01/1968,3,36,0,INDETERMINADO,4,1,99,0,0,0,300,0,0,0,0
1968080038,45,21/01/1968,2,8,0,INDETERMINADO,2,1,20,0,0,0,60,0,0,0,0
1968490022,100,22/01/1968,17,49,0,INDETERMINADO,2,1,50,0,0,0,1200,0,0,0,0
1968170021,40,23/01/1968,2,17,0,INDETERMINADO,2,1,40,0,0,0,240,0,0,0,0
1968440043,10,23/01/1968,10,44,0,INDETERMINADO,2,1,90,0,0,0,120,0,0,0,0
1968270055,150,24/01/1968,3,27,0,INDETERMINADO,4,1,99,0,0,0,180,25,0,0,2
1968320059,20,24/01/1968,3,32,0,INDETERMINADO,5,1,0,0,0,0,180,0,0,0,0
1968370020,20,25/01/1968,17,37,0,INDETERMINADO,2,1,50,0,0,0,120,0,0,0,0
1968080049,235,27/01/1968,2,8,0,INDETERMINADO,5,1,0,0,0,0,660,0,0,0,0
1968320042,400,27/01/1968,3,32,0,INDETERMINADO,4,1,99,0,0,0,420,65,0,0,3
1968360070,310,27/01/1968,3,36,0,INDETERMINADO,2,1,20,0,0,0,180,30,0,0,7
1968120053,700,28/01/1968,9,12,0,INDETERMINADO,2,1,10,0,0,0,480,39,6,0,0
1968250073,20,28/01/1968,2,25,0,INDETERMINADO,2,1,40,0,0,0,120,0,0,0,0
1968050047,30,30/01/1968,17,5,0,INDETERMINADO,2,1,50,0,0,0,240,0,0,0,0
1968490052,240,30/01/1968,17,49,0,INDETERMINADO,2,1,50,0,0,0,1440,0,0,0,0
1968500065,40,31/01/1968,10,50,0,INDETERMINADO,2,1,40,0,0,0,120,0,0,0,0
1968340063,50,01/02/1968,17,34,0,INDETERMINADO,2,1,20,0,0,0,120,0,0,0,0
1968340046,20,02/02/1968,17,34,0,INDETERMINADO,2,1,20,0,0,0,60,0,0,0,0
1968220062,140,04/02/1968,10,22,0,INDETERMINADO,2,1,50,0,0,0,1140,0,0,0,0
1968360068,30,04/02/1968,3,36,0,INDETERMINADO,4,1,99,0,0,0,120,0,0,0,0
1968490061,30,04/02/1968,17,49,0,INDETERMINADO,2,1,40,0,0,0,60,31,0,0,0
1968080109,10,05/02/1968,2,8,0,INDETERMINADO,5,1,0,0,0,0,180,0,0,0,0
1968080069,112,09/02/1968,2,8,0,INDETERMINADO,2,1,40,0,0,0,300,14,1,0,5
1968390076,30,11/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,180,0,0,0,0
1968080090,"1,3E+016",12/02/1968,2,8,0,INDETERMINADO,5,1,0,0,0,0,120,0,0,0,0
1968090067,25,13/02/1968,17,9,0,INDETERMINADO,2,1,20,0,0,0,240,0,0,0,0
1968330112,40,13/02/1968,5,33,0,INDETERMINADO,5,1,0,0,0,0,120,0,0,0,0
1968390077,30,13/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,120,0,0,0,0
1968390091,150,13/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,300,0,0,0,0
1968390098,20,13/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,900,0,0,0,0
1968390104,360,13/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,1500,100,0,0,11
1968020089,30,14/02/1968,11,2,0,INDETERMINADO,2,1,20,0,0,0,120,0,0,0,0
1968390078,10,14/02/1968,6,39,0,INDETERMINADO,4,1,99,0,0,0,60,0,0,0,0
1968330113,65,15/02/1968,5,33,0,INDETERMINADO,4,1,99,0,0,0,360,0,0,0,0
1968390107,30,16/02/1968,6,39,0,INDETERMINADO,5,1,0,0,0,0,420,0,0,0,0
