id_hogar,ingreso_anual,gasto_vivienda,gasto_alimentacion,gasto_transporte,gasto_ocio,gasto_salud,gasto_educacion,ahorro
1,35319.0,10502.35,5293.46,5241.74,4041.16,2105.42,2977.06,5157.8
2,53484.0,13454.4,8395.17,6076.1,3031.31,2884.73,4554.92,15087.36
3,50007.61,13698.41,8949.33,4634.47,3666.31,3800.52,5091.09,10167.47
4,39437.43,11906.0,7375.84,5084.38,3600.76,1091.38,6025.64,4353.43
5,12000.0,3187.0,2718.18,1628.21,840.63,467.12,981.27,2177.59
6,18559.36,5282.32,2784.82,1172.43,2678.0,717.21,1015.77,4908.81
7,16014.64,5449.01,3355.54,1888.48,1595.68,1265.26,1108.74,1351.94
8,68524.33,18976.05,11894.48,8293.86,7496.23,6455.83,1159.96,14247.93
9,29452.35,9820.23,5257.72,2682.32,3137.12,1705.62,1447.84,5401.51
10,34196.84,8713.76,6847.73,4831.03,4340.91,1936.35,1973.89,5553.17
11,19514.96,6268.05,2855.4,1863.65,1702.5,1198.24,1059.22,4567.9
12,68657.55,24556.25,13146.02,7124.41,1931.11,5714.89,5119.84,11065.04
13,47997.04,9653.85,8879.14,4550.5,4607.12,1989.62,2175.58,16141.24
14,16996.5,4557.17,3310.47,1707.59,916.89,1100.82,1761.36,3642.19
15,16575.16,5355.15,3127.32,1112.39,975.54,1317.79,1160.36,3526.61
16,16040.01,4681.73,4068.69,911.05,1659.41,1123.15,1118.33,2477.65
17,23296.36,7334.76,3747.63,3444.02,3017.61,1486.11,1401.58,2864.64
18,37834.87,10436.39,6207.57,2822.15,3058.98,3027.58,2824.59,9457.61
19,26173.81,7942.8,4221.99,1838.93,2417.24,155.35,2480.05,7117.46
20,20753.59,6096.84,3389.8,734.64,3073.37,1526.58,912.87,5019.48
21,49855.09,17285.32,8020.61,4029.84,4468.52,2339.13,2505.54,11206.13
22,21097.4,6543.92,4550.09,1272.33,3883.34,493.41,1284.58,3069.72
23,13441.89,4214.09,2992.37,2006.34,1379.41,943.94,398.2,1507.53
24,31610.36,8962.33,5148.62,4118.66,302.5,2765.06,1435.81,8877.39
25,43868.38,12304.89,6800.89,3481.2,4831.39,2511.51,2444.06,11494.45
26,30046.31,8494.02,5833.27,5034.95,2861.8,2375.39,2891.41,2555.48
27,19331.46,6104.45,3159.4,2502.51,2543.83,1783.24,1505.47,1732.55
28,40422.44,11446.04,8043.58,3648.33,4322.26,3488.39,3064.33,6409.51
29,28511.49,8883.92,5305.64,713.3,2123.02,2645.85,2723.62,6116.16
30,17821.42,6825.89,2397.47,3006.98,552.96,1333.8,1174.05,2530.26
31,12311.13,4122.32,2787.55,717.9,881.96,757.24,1005.99,2038.17
32,14926.84,4283.39,3491.03,755.87,686.32,417.36,998.66,4294.2
33,17242.3,6001.16,2786.64,2253.17,979.0,949.68,1344.22,2928.42
34,47522.17,13480.95,8001.26,8230.49,4920.59,2049.87,2495.73,8343.28
35,76324.11,16674.91,14392.89,10802.01,11204.09,7893.35,0.0,15356.85
36,45698.59,11866.85,8684.27,5342.95,4377.32,2581.16,3014.81,9831.21
37,16679.87,3755.78,3331.91,1965.6,536.5,1041.89,1879.53,4168.66
38,18392.22,5259.06,4419.76,2310.11,1798.47,1306.39,1798.51,1499.92
39,45088.91,13559.89,7876.65,5535.47,5765.31,2744.65,4462.09,5144.85
40,24948.96,9157.7,3893.31,2705.36,1387.38,2342.73,2671.63,2790.84
41,21489.49,6727.87,2978.88,2216.13,1603.96,1021.76,1561.42,5379.47
42,35071.63,10214.12,5543.85,3441.31,2826.34,2240.8,2662.62,8142.6
43,15055.47,5016.13,2695.02,1165.01,731.76,679.76,774.91,3992.88
44,64621.03,13670.88,15110.77,5917.98,6845.38,2171.24,3910.72,16994.06
45,18597.18,5754.42,3058.71,915.19,1397.8,888.29,1645.35,4937.41
46,30798.48,10189.2,5750.5,2988.99,2980.72,1825.1,3268.23,3795.75
47,18209.41,4385.85,3268.72,1280.89,810.32,936.22,1198.48,6328.92
48,32302.8,11168.7,6966.16,2160.81,2018.98,1490.83,1824.93,6672.41
49,35794.62,11223.04,9156.55,3772.64,3897.86,1140.91,2506.19,4097.43
